COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Iceland,ISL,EURO,REPORTING,2021-05-23,244734,164151,67.2,45.08,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,4
Montenegro,MNE,EURO,REPORTING,2021-05-16,151333,113543,24.1,18.078,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2021-02-24,4
Algeria,DZA,AFRO,REPORTING,2021-05-31,,,,,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,SII - Covishield",2021-01-30,3
Saint Lucia,LCA,AMRO,REPORTING,2021-05-28,45986,27709,25.043,15.09,"AstraZeneca - AZD1222,SII - Covishield",2021-02-17,2
Maldives,MDV,SEARO,REPORTING,2021-05-23,464505,306430,85.933,56.689,"Beijing CNBG - Inactivated,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-01,4
Cambodia,KHM,WPRO,REPORTING,2021-05-15,3180915,2040255,19.026,12.203,"Beijing CNBG - Inactivated,SII - Covishield,Sinovac - CoronaVac",2021-02-10,3
Bermuda,BMU,AMRO,REPORTING,2021-05-28,68104,35738,109.364,57.389,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty",2021-01-11,2
Oman,OMN,EMRO,REPORTING,2021-05-17,296894,216549,5.814,4.241,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-12-29,3
Slovenia,SVN,EURO,REPORTING,2021-05-23,964598,629614,46,30.041,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
French Guiana,GUF,AMRO,REPORTING,2021-05-28,53853,,18.03,,,,
Liechtenstein,LIE,OTHER,OWID,2021-05-09,14369,9932,37.084,25.633,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2
Austria,AUT,EURO,REPORTING,2021-05-23,4624671,3351584,52,37.654,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,4
Finland,FIN,EURO,REPORTING,2021-05-23,2666110,2288588,48.3,41.42,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Luxembourg,LUX,EURO,REPORTING,2021-05-23,330910,221013,52.9,35.3,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,4
Micronesia (Federated States of),FSM,WPRO,REPORTING,2021-05-18,38187,22309,33.199,19.395,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-01-13,4
Northern Mariana Islands (Commonwealth of the),MNP,WPRO,REPORTING,2021-05-17,44921,23806,78.046,41.361,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-19,3
United Arab Emirates,ARE,EMRO,OWID,2021-05-12,11366954,,114.929,,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Beijing CNBG - Inactivated, Wuhan CNBG - Inactivated, Gamaleya - Sputnik V",,5
Albania,ALB,EURO,REPORTING,2021-05-23,710482,465165,24.7,16.164,"AstraZeneca - AZD1222,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-13,5
Chile,CHL,AMRO,REPORTING,2021-05-28,18018443,10156276,94.257,53.129,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-21,3
Belgium,BEL,EURO,REPORTING,2021-05-23,6056203,4363357,52.6,37.868,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,4
Denmark,DNK,EURO,REPORTING,2021-05-23,3064518,1874627,52.6,32.195,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,3
occupied Palestinian territory,PSE,EMRO,REPORTING,2021-05-26,462340,270940,9.063,5.311,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-02-02,5
Bulgaria,BGR,EURO,REPORTING,2021-05-23,1263430,759732,18.2,10.929,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,4
French Polynesia,PYF,WPRO,REPORTING,2021-05-15,83242,51856,29.633,18.46,"Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty",2021-01-18,2
Liberia,LBR,AFRO,REPORTING,2021-05-31,56144,56144,1.11,1.11,SII - Covishield,2021-04-01,1
Honduras,HND,AMRO,REPORTING,2021-05-28,253832,209704,2.563,2.117,"AstraZeneca - AZD1222,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273",2021-02-26,4
Faroe Islands,FRO,EURO,OWID,2021-05-11,25427,18420,52.035,37.696,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2
Bangladesh,BGD,SEARO,REPORTING,2021-05-25,9904532,5820502,6.014,3.534,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-01-27,4
Turkey,TUR,EURO,OWID,2021-05-30,28048727,16045835,33.3,19.025,"Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac",,2
Nigeria,NGA,AFRO,REPORTING,2021-05-31,1637078,1637078,0.794,0.794,SII - Covishield,2021-03-05,1
Trinidad and Tobago,TTO,AMRO,REPORTING,2021-05-28,77422,76243,5.532,5.448,"AstraZeneca - AZD1222,SII - Covishield",2021-02-17,2
Gambia,GMB,AFRO,REPORTING,2021-05-31,29148,29148,1.206,1.206,"Beijing CNBG - Inactivated,SII - Covishield",2021-03-10,2
Yemen,YEM,EMRO,REPORTING,2021-05-29,104070,104070,0.349,0.349,SII - Covishield,2021-04-20,1
Democratic Republic of the Congo,COD,AFRO,REPORTING,2021-05-31,23197,23197,0.026,0.026,SII - Covishield,2021-04-19,1
Falkland Islands (Malvinas),FLK,AMRO,OWID,2021-04-14,4407,2632,126.529,75.567,AstraZeneca - AZD1222,,1
Jordan,JOR,EMRO,REPORTING,2021-05-26,1825950,1341419,17.896,13.147,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty",2021-01-13,5
Guinea-Bissau,GNB,AFRO,REPORTING,2021-05-31,5889,5889,0.299,0.299,"Beijing CNBG - Inactivated,SII - Covishield",2021-04-02,2
Uruguay,URY,AMRO,REPORTING,2021-05-28,2701944,1708261,77.782,49.177,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-27,3
Kazakhstan,KAZ,EURO,REPORTING,2021-05-16,2822555,2063497,15,10.99,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,RIBSP - QazCovid",2021-03-17,3
Dominica,DMA,AMRO,REPORTING,2021-05-28,37151,19677,51.605,27.333,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,SII - Covishield",2021-02-12,3
Papua New Guinea,PNG,WPRO,REPORTING,2021-05-14,11537,11537,0.129,0.129,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,SII - Covishield",2021-03-30,3
Cameroon,CMR,AFRO,REPORTING,2021-05-31,75215,63404,0.283,0.239,"Beijing CNBG - Inactivated,SII - Covishield",2021-04-12,2
Comoros,COM,AFRO,REPORTING,2021-05-31,83907,83907,9.649,9.649,"Beijing CNBG - Inactivated,Bharat - Covaxin,SII - Covishield",2021-04-10,3
Saba,XCA,AMRO,REPORTING,2021-05-28,1300,,67.253,,,,
Pakistan,PAK,EMRO,REPORTING,2021-05-21,4956853,2631873,2.244,1.191,"Beijing CNBG - Inactivated,CanSino - Ad5-nCOV,Gamaleya - Sputnik V,SII - Covishield,Sinovac - CoronaVac",2021-02-03,5
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,2021-05-28,1568741,1227534,13.439,10.516,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-01-30,4
Malawi,MWI,AFRO,REPORTING,2021-05-31,354777,354777,1.855,1.855,SII - Covishield,2021-03-11,1
Timor-Leste,TLS,SEARO,REPORTING,2021-05-25,63753,63752,4.835,4.835,"AstraZeneca - AZD1222,SII - Covishield",2021-04-07,2
Palau,PLW,WPRO,REPORTING,2021-05-18,20622,12874,113.984,71.159,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273",2021-01-03,2
Egypt,EGY,EMRO,REPORTING,2021-05-29,2586274,2254371,2.527,2.203,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Sinovac - CoronaVac",2021-01-24,4
Sierra Leone,SLE,AFRO,REPORTING,2021-05-31,79762,68882,1,0.864,"Beijing CNBG - Inactivated,SII - Covishield",2021-03-15,2
Wallis and Futuna,WLF,WPRO,REPORTING,2021-05-14,8079,4314,71.839,38.36,Moderna - mRNA-1273,2021-03-19,1
Antigua and Barbuda,ATG,AMRO,REPORTING,2021-05-28,44230,32876,45.165,33.571,"AstraZeneca - AZD1222,SII - Covishield",2021-02-19,2
Viet Nam,VNM,WPRO,REPORTING,2021-05-14,980076,959182,1.007,0.985,"AstraZeneca - AZD1222,Gamaleya - Sputnik V",2021-04-16,2
Ukraine,UKR,EURO,REPORTING,2021-05-23,1525034,1450101,3.5,3.316,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-24,5
Bonaire,XAA,AMRO,REPORTING,2021-05-28,24152,13727,115.477,65.632,,,
Hungary,HUN,EURO,REPORTING,2021-05-23,7921417,4917780,81.1,50.338,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-23,7
Aruba,ABW,AMRO,REPORTING,2021-05-28,111573,62218,104.502,58.275,"Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty",2021-02-17,2
Lebanon,LBN,EMRO,REPORTING,2021-05-25,677844,455659,9.931,6.676,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2021-02-14,4
China,CHN,WPRO,REPORTING,2021-05-14,388313603,,26.393,,"Anhui ZL - Recombinant,Beijing CNBG - Inactivated,CanSino - Ad5-nCOV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",2020-07-22,6
Guam,GUM,WPRO,REPORTING,2021-05-18,129675,74213,76.833,43.972,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-01-04,3
Sint Maarten,SXM,AMRO,REPORTING,2021-05-28,29055,17024,67.756,39.7,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-02-22,3
Zimbabwe,ZWE,AFRO,REPORTING,2021-05-31,1011973,670755,6.809,4.513,"Beijing CNBG - Inactivated,Bharat - Covaxin,Sinovac - CoronaVac",2021-02-18,3
Qatar,QAT,EMRO,OWID,2021-05-12,1911663,1149854,66.353,39.911,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2
